	title	link	salary_minimal	salary_maximal	normal_salary	source
239	Программирующий математик	https://orenburg.hh.ru/vacancy/51109778				hh.ru
240	Data Scientist	https://orenburg.hh.ru/vacancy/51774158	1000.0	3000.0	USD	hh.ru
241	Data Scientist	https://orenburg.hh.ru/vacancy/51774149	1000.0	3000.0	USD	hh.ru
242	Разработчик Python (ML)	https://orenburg.hh.ru/vacancy/51768742				hh.ru
243	Программист Python + Go	https://orenburg.hh.ru/vacancy/51599419				hh.ru
244	C++ разработчик	https://orenburg.hh.ru/vacancy/50611060	180000.0	250000.0	руб.	hh.ru
245	Python-разработчик	https://orenburg.hh.ru/vacancy/49518455				hh.ru
246	Data Scientist	https://orenburg.hh.ru/vacancy/51774146	1000.0	3000.0	USD	hh.ru
247	Full-stack Flask/Python/Vue.js Разработчик (удаленно)	https://orenburg.hh.ru/vacancy/51262232	200000.0	300000.0	руб.	hh.ru
248	Backend разработчик Python	https://orenburg.hh.ru/vacancy/51726789				hh.ru
249	Программист-разработчик Python	https://orenburg.hh.ru/vacancy/50760060				hh.ru
250	Python Developer	https://orenburg.hh.ru/vacancy/51653035				hh.ru
251	Преподаватель программирования для детей (удаленно)	https://orenburg.hh.ru/vacancy/50596547	30000.0	60000.0	руб.	hh.ru
252	Product/Data Analyst (Junior)	https://orenburg.hh.ru/vacancy/51710410		1000.0	USD	hh.ru
253	Python Developer Middle/Senior	https://orenburg.hh.ru/vacancy/51771696	140000.0	220000.0	руб.	hh.ru
254	Программист Python	https://orenburg.hh.ru/vacancy/50711082				hh.ru
255	Middle Python developer	https://orenburg.hh.ru/vacancy/50967638	90000.0	160000.0	руб.	hh.ru
256	Python разработчик	https://orenburg.hh.ru/vacancy/50762432				hh.ru
257	Intern Python Software Engineer; PowerStore; Networking	https://orenburg.hh.ru/vacancy/50187659				hh.ru
258	Стажер-разработчик .NET	https://orenburg.hh.ru/vacancy/51848288				hh.ru
259	Разработчик Python (middle+)	https://orenburg.hh.ru/vacancy/51705316				hh.ru
260	Аналитик данных ритейла (SQL; Python)	https://orenburg.hh.ru/vacancy/50828235				hh.ru
261	BI-аналитик (Middle)	https://orenburg.hh.ru/vacancy/51695241		90000.0	руб.	hh.ru
262	Разработчик DWH (Airflow + Python)	https://orenburg.hh.ru/vacancy/51849191				hh.ru
263	Python developer (Django)	https://orenburg.hh.ru/vacancy/51742061				hh.ru
264	Data Scientist	https://orenburg.hh.ru/vacancy/51774143	1000.0	3000.0	USD	hh.ru
265	Data Scientist	https://orenburg.hh.ru/vacancy/51774147	1000.0	3000.0	USD	hh.ru
266	Python Developer (BestEx team)	https://orenburg.hh.ru/vacancy/50674752	175000.0	300000.0	руб.	hh.ru
267	Middle Python-разработчик	https://orenburg.hh.ru/vacancy/50770638				hh.ru
268	Big Data Engineer; Ozon Express	https://orenburg.hh.ru/vacancy/50655160				hh.ru
269	Python Developer for a Swiss AI Startup (remote)	https://orenburg.hh.ru/vacancy/51716379	3000.0	5500.0	USD	hh.ru
270	Python/Django developer (middle)	https://orenburg.hh.ru/vacancy/51537066	200000.0	250000.0	руб.	hh.ru
271	Аналитик Data Science (middle)	https://orenburg.hh.ru/vacancy/51653572	100000.0	160000.0	руб.	hh.ru
272	Data Engineer/ Инженер данных	https://orenburg.hh.ru/vacancy/46445690		170000.0	руб.	hh.ru
273	Python разработчик	https://orenburg.hh.ru/vacancy/50439069				hh.ru
274	Разработчик BI; Ozon Travel	https://orenburg.hh.ru/vacancy/46913871				hh.ru
275	Backend engineer	https://orenburg.hh.ru/vacancy/50851170	200000.0	300000.0	руб.	hh.ru
276	Data Scientist	https://orenburg.hh.ru/vacancy/51774140	1000.0	3000.0	USD	hh.ru
277	Data scientist/analyst	https://orenburg.hh.ru/vacancy/51615453				hh.ru
278	Data Engineer	https://orenburg.hh.ru/vacancy/51348154		200000.0	руб.	hh.ru
279	Инженер-программист	https://orenburg.hh.ru/vacancy/51708311		120000.0	руб.	hh.ru
280	Backend middle developer	https://orenburg.hh.ru/vacancy/50643425	200000.0	250000.0	руб.	hh.ru
281	Data engineer / SQL-разработчик	https://orenburg.hh.ru/vacancy/45266641	150000.0	175000.0	руб.	hh.ru
282	Data-инженер (DWH) / Разработчик SQL + Python	https://orenburg.hh.ru/vacancy/49781234				hh.ru
